"Address","Occurrences","H1-1","H1-1 length","H1-2","H1-2 length","Indexability","Indexability Status"
"https://www.drupal.com/","0","","0","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/advertise","1","Advertise","9","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/contact/advertising","1","Advertising Inquiries","21","","0","Indexable",""
"https://www.drupal.com/contact/case-study-submission","1","Case Study Submission","21","","0","Indexable",""
"https://www.drupal.com/contact","1","General Inquiries","17","","0","Indexable",""
"https://www.drupal.com/why-use-drupal","1","Why Use Drupal","14","","0","Indexable",""
"https://www.drupal.com/feature/drupal-content-authoring","1","Easy Content Authoring","22","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/feature/security","1","Security","8","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/feature/drupal-scalability","1","Highly Scalable","15","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/trademark","1","Drupal trademark and logo policy","32","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/product/web-content-management","2","Drupal for Web Content Management","33","Drupal for Web Content Management","33","Non-Indexable","Canonicalised"
"https://www.drupal.com/feature/multilingual","1","Multilingual","12","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/get-started-with-drupal","1","Get started with Drupal","23","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/feature/content-as-a-service","1","Content as a Service","20","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/product/commerce","2","Drupal for Commerce","19","Drupal for Commerce","19","Non-Indexable","Canonicalised"
"https://www.drupal.com/showcases","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/case-study/economist-espresso-app-drupal","1","The Economist’s Espresso news app","33","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/contact/trademark","1","Drupal Trademark Inquiries","26","","0","Indexable",""
"https://www.drupal.com/filter/tips","1","Compose tips","12","","0","Indexable",""
"https://www.drupal.com/case-study/fiji-travel","1","Tourism Fiji Drives Record Visits With Help of Drupal","53","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/trademark/apply","1","Apply for a license","19","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/trademark/changelog","1","View policy changes","19","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/trademark/report-violation","1","Report a violation","18","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/trademark/download","1","Download the policy","19","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/timex","1","Timex: Drupal keeps a Great Digital Shopping Experience Ticking","63","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/showcases?page=2","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/showcases?page=1","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/showcases?page=0","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/case-study/avio","1","AVIO Consulting, An Interactive Experience","42","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/savant","1","Drupal Enables Savant to Elevate the Everyday","45","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/rush-university-medical-center","1","Rush University Medical Center","30","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/showcases?page=5","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/showcases?page=3","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/case-study/myrevera","1","MyRevera Delivers New User Experience","37","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/procomun","1","Procomún - Educational resources","32","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/colorado-general-assembly","1","Drupal Site Helps Citizens Connect with Government","50","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/boreal-mountain-resort","1","Headless Drupal Development Helps Skiers Find Resort Information Quickly","72","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/manhattan-associates","1","Manhattan Associates Leads the Way with Drupal 8","48","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/state-revenue-office-australia","1","State Revenue Office of Victoria Australia","42","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/umn-university-minnesota","1","Building an Efficient, Simplified Enterprise Web Platform for the University of Minnesota","89","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/greenpeace-greenwire","1","Greenpeace uses Drupal to Empower, Grow Volunteering","52","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/sevilla-fc","1","Sevilla FC: A brand that never stops growing","44","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/showcases?page=4","1","Who Uses Drupal?","16","","0","Indexable",""
"https://www.drupal.com/case-study/care-international-uk","1","Care International UKi","22","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/youth-on-record","1","Website Redesign in Drupal 8 Helps a Rockstar Nonprofit Get an Edge","67","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/rainforest-alliance","1","A Reimagined Rainforest Alliance on Drupal 8","44","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/government-bermuda","1","Government of Bermuda","21","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/the-sapan-institute","1","The SAPAN Institute","19","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/university-of-colorado","1","Creating an Engaging Donor Experience for University of Colorado Alumni","71","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/red-hat-opensource-com","1","Red Hat is Extending Open Source Principles Beyond Technology","61","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/gatwick","1","Gatwick Obviously on Drupal, obviously!","39","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/higgidy","1","‘The best things in life are always a bit Higgidy...’","53","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/shoretel","1","ShoreTel","8","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/iom3","1","The Institute of Materials, Minerals and Mining (IOM3)","54","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/node/1051","2","Drupal helps Red Cross GDPC bring its teams together","52","Drupal helps Red Cross GDPC bring its teams together","52","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/foxtel-presto-video-on-demand","1","Hey, Presto! Drupal drives personalized media experience for Foxtel Video-on-Demand Customers","93","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/fema","1","Rebuilding FEMA.gov to deliver a powerful user experience","57","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/case-study/spartannash","1","Filling Bigger Baskets, Faster with SpartanNash","47","","0","Non-Indexable","Canonicalised"
"https://www.drupal.com/404","1","404","3","","0","Non-Indexable","Canonicalised"
